Date,Open,High,Low,Close,Adj Close,Volume,neutral-count-finbert,positive-count-finbert,negative-count-finbert,average-confidence-finbert,average-neutral-score-gemini,average-positive-score-gemini,average-negative-score-gemini,prediction-label,ticker,number-employees,sector
2024-11-08,299.1600037,328.7000122,297.6600037,321.2200012,321.2200012,201778989,3,1,4,0.995374165,6.875,4.375,3.5,1.0,TSLA,140473.0,Automotive
2024-11-08,227.1399994,228.6600037,226.4084015,226.9600067,226.9600067,37608324,2,2,4,0.893756397,6.875,5.375,3.5,0.0,AAPL,164000.0,Technology
2024-11-08,2.319999933,2.359999895,2.099999905,2.210000038,2.210000038,102274174,5,1,2,0.912987947,7.125,5.25,2.375,0.0,LCID,6500.0,Automotive
2024-11-08,27.11000061,27.14999962,26.71809959,26.71999931,26.71999931,53549746,3,3,2,0.926919505,6.5,5.75,2.5,0.0,PFE,88000.0,Healthcare
2024-11-08,40.74000168,40.84999847,40.41999817,40.47999954,40.47999954,21278511,1,1,6,0.982125357,8.25,4.125,1.75,0.0,VZ,101200.0,Telecommunications
2024-11-08,148.7700043,149.7599945,146.2599945,147.6300049,147.6300049,173148255,3,1,4,0.905805498,7.125,4.75,2.5,0.0,NVDA,29600.0,Technology
2024-11-08,157.0,157.0800018,155.4100037,155.4700012,155.4700012,8818545,3,0,5,0.951472953,7.375,5.0,1.375,0.0,JNJ,131900.0,Healthcare
2024-11-08,22.04999924,22.43000031,22.04999924,22.34000015,22.34000015,29866241,2,2,4,0.997335121,7.375,4.125,2.125,1.0,T,143630.0,Telecommunications
2024-11-08,120.9499969,124.2137985,120.9000015,123.5500031,123.5500031,3622769,7,1,0,0.937358066,7.625,6.75,1.75,1.0,RTX,185000.0,Industrials
2024-11-08,88.36000061,88.66999817,87.56999969,87.72000122,87.72000122,8134485,4,0,4,0.977421314,7.75,4.125,3.25,0.0,MDT,95000.0,Healthcare
2024-11-08,180.6450043,180.8999939,178.0800018,178.3500061,178.3500061,21970658,4,1,3,0.871701188,7.125,5.0,3.125,0.0,GOOGL,181269.0,Technology
2024-11-08,87.56999969,88.94000244,87.3239975,88.25,88.25,3737888,3,3,2,0.945948832,7.5,4.25,3.125,1.0,BSX,48000.0,Healthcare
